column,Row Order,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,TO-MAR BLACKSTAR ET,EMPRISE BELL ELTON,CAROL PRELUDE MTOTO ET,MADAWASKA AEROSTAR,JOCKO BESN,MAUGHLIN STORM,SINGING-BROOK N-B MASCOT ET,PICSTON SHOTTLE,DIXIE-LEE AARON -ET,ROUMARE,LONG-LANGS OMAN OMAN,BRAEDALE GOLDWYN,A RONNYBROOK PRELUDE ET,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,OSDEL-ENDEAVOR BOVA CUBBY,Q250 BESNE BUCK,SHOREMAR JAMES,OUT-JOCK CHOICE AMEL,ELITE MOUNTAIN DONOR IMP (E_T),HANOVERHILL STARBUCK,GIBBON,BIS-MAY S-E-L MOUNTAIN ET,MJR BLACKSTAR EMORY-ET,SOUTHWIND BELL OF BAR-LEE,END-ROAD BLACKSTAR MAJIC-ET,A MARK CJ GILBROOK GRAND ET,STARTMORE RUDOLPH,TESK-HOLM VALIANT ROCKIE,SHOREMAR PERFECT STAR (ET),ELITE GOLD BULLION-IMP-ET,BIS-MAY TRADITION CLEITUS,LEKKER VALIANT ROYALTY,AG-HIGH SIGHTS BS INGOT-ET,CARLIN-M IVANHOE BELL,ETAZON ADDISON,HOW-EL-ACRES K BELLMAN ET,WHITTIER-FARMS NED BOY,FUSTEAD EMORY BLITZ,NORRIELAKE CLEITUS LUKE TWIN,HILL VALLEY BASAR ACME,MARA-THON BW MARSHALL,BASAR,JARDIN,END-ROAD PVF BOLIVER,COLLINS ROYAL HUGO,RENGAW JARDIN JANEK,ROYLANE SOCRA ROBUST
Column Order,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
JET STAR MANOMAN TRICKIN - TRICKIN,1,0.93452381,0.755952381,0,0.357142857,0,0,1,0,0,0,0.416666667,0.642857143,0.375,0,0,0,0,0.119047619,0.386904762,0,0,0,0,0.196428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0,0
ST. CLAIR SHOLTZ-TWIN - SHOLTZ,2,0,0,0.875,0,0.464285714,0.321428571,0,0,0.458333333,0.369047619,0,0,0,0,0.172619048,0,0,0,0,0,0,0.863095238,0.321428571,0,0.517857143,0,0,0,0,0,0,0,0,0,0.18452381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MOGENS - VIKVHMOGENS,3,0.93452381,0.755952381,0.875,0.357142857,0.464285714,0.321428571,0,0,0,0,0,0,0,0,0.172619048,0,0,0.119047619,0,0,0,0,0.160714286,0,0,0,0,0,0,0.196428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS CHRISTMAS-ET - CHRISTMAS,4,0,0,0.875,0,0,0,1,0,0,0,0,0.642857143,0,0,0,0,0,0,0.386904762,0,0,0,0.160714286,0.196428571,0,0,0.285714286,0,0,0,0,0,0.333333333,0,0,0.273809524,0,0,0.19047619,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN HUMMER-ET - GEEMCEE,5,0.93452381,0.755952381,0,0.357142857,0.464285714,0.321428571,0,0,0,0.369047619,0.416666667,0,0.375,0,0.172619048,0,0,0.119047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0,0
RENGAW MANOMAN WRANGLER-ET - WRANGLER,6,0.93452381,0.755952381,0,0.357142857,0.464285714,0.321428571,0,0,0,0.369047619,0.416666667,0,0.375,0,0.172619048,0,0,0.119047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0,0
AMIGHETTI NUMERO UNO - 0200HO07450,7,0.93452381,0.755952381,0,0.357142857,0.464285714,0.321428571,0,0,0,0.369047619,0.416666667,0,0.375,0,0.172619048,0,0,0.119047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0,0
GEN-I-BEQ LAVAMAN - 0200HO06267,8,0.93452381,0.755952381,0,0.357142857,0,0,0,0.529761905,0,0,0.416666667,0,0.375,0.255952381,0,0,0,0.119047619,0,0.196428571,0,0,0,0,0,0,0,0,0.089285714,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0,0
PETHERTON DENSITY - 0200HO02700,9,0.93452381,0.755952381,0,0.357142857,0,0,0,0.529761905,0,0,0.416666667,0,0.375,0.255952381,0,0,0,0.119047619,0,0.196428571,0,0,0,0,0,0,0,0,0.089285714,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0,0
DE-SU ALTAMELHOR - 011HO11077,10,0.93452381,0.755952381,0,0.357142857,0.464285714,0.321428571,0,0,0,0.369047619,0,0,0,0.255952381,0.172619048,0,0,0.119047619,0,0.196428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDIJKS BABYLON - 29HO12470,11,0.93452381,0.755952381,0,0.714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119047619,0,0,0,0,0,0,0.517857143,0,0,0,0,0,0.196428571,0,0,0,0.18452381,0,0.095238095,0.380952381,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU DISTINCTION 11130 - 7HO11775,12,0.93452381,0.755952381,0,0,0.464285714,0,0,0,0,0.369047619,0.416666667,0,0.375,0,0,0.18452381,0.18452381,0,0,0,0.136904762,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETAZON STEFANO - CRVESTEFANO,13,0.93452381,0.755952381,0,0.357142857,0,0.642857143,0,0.529761905,0,0,0,0,0,0.255952381,0,0,0,0.119047619,0,0.196428571,0,0,0,0,0,0,0,0,0.089285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOPSPEED GOLDYN-ET - GOLDCREST,14,0,0,0,0,0,0.642857143,0,0.529761905,0.458333333,0,0,0,0,0.255952381,0,0,0,0,0,0.196428571,0,0.863095238,0,0,0.517857143,0,0,0,0.089285714,0,0,0,0,0,0.18452381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDELWEISS - EDELWEISS,15,0,0,0.875,0,0,0,1,0,0,0,0,0.642857143,0,0,0,0.18452381,0.18452381,0,0.386904762,0,0.136904762,0,0,0.196428571,0,0,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GALLRAE TENNYSON YJ - YJ,16,0.93452381,0.755952381,0.875,0.357142857,0.464285714,0,0,0,0,0,0,0,0,0,0.172619048,0,0,0.119047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
